id,name,gender,birth_date,birth_country,wikipedia_link,prize_category,prize_motivation,prize_year,affiliation_country,min_prize_year,min_prize_date,age_at_prize,this_year,uniform,image_source
392,Alfred D. Hershey,male,1908-12-04,USA,https://en.wikipedia.org/wiki/Alfred_Hershey,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,1969,USA,1969,1969-12-10,61,FALSE,0,NA
479,Alfred Hermann Fried,male,1864-11-11,Austria,https://en.wikipedia.org/wiki/Alfred_Hermann_Fried,Peace,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",1911,Austria,1911,1911-12-10,47,FALSE,0,NA
450,Alfred G. Gilman,male,1941-07-01,USA,https://en.wikipedia.org/wiki/Alfred_G._Gilman,Physiology or Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,1994,USA,1994,1994-12-10,53,FALSE,0,NA
87,Alfred Kastler,male,1902-05-03,France,https://en.wikipedia.org/wiki/Alfred_Kastler,Physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms,1966,France,1966,1966-12-10,64,FALSE,0,NA
174,Alfred Werner,male,1866-12-12,France,https://en.wikipedia.org/wiki/Alfred_Werner,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,1913,Switzerland,1913,1913-12-10,46,FALSE,0,NA
892,Alice Munro,female,1931-07-10,Canada,https://en.wikipedia.org/wiki/Alice_Munro,Literature,master of the contemporary short story,2013,Canada,2013,2013-12-10,82,FALSE,0,NA
417,Allan M. Cormack,male,1924-02-23,South Africa,https://en.wikipedia.org/wiki/Allan_McLeod_Cormack,Physiology or Medicine,for the development of computer assisted tomography,1979,USA,1979,1979-12-10,55,FALSE,0,NA
305,Allvar Gullstrand,male,1862-06-05,Sweden,https://en.wikipedia.org/wiki/Allvar_Gullstrand,Physiology or Medicine,for his work on the dioptrics of the eye,1911,Sweden,1911,1911-12-10,49,FALSE,0,NA
300,Charles Louis Alphonse Laveran,male,1845-06-18,France,https://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran,Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases,1907,France,1907,1907-12-10,62,FALSE,0,NA
543,Alva Myrdal,female,1902-01-31,Sweden,https://en.wikipedia.org/wiki/Alva_Myrdal,Peace,for their work for disarmament and nuclear and weapon-free zones,1982,Sweden,1982,1982-12-10,80,FALSE,0,NA
882,Alvin E. Roth,male,1951-12-18,USA,https://en.wikipedia.org/wiki/Alvin_E._Roth,Economic Sciences,for the theory of stable allocations and the practice of market design,2012,USA,2012,2012-12-10,60,FALSE,0,NA
719,Amartya Sen,male,1933-11-03,India,https://en.wikipedia.org/wiki/Amartya_Sen,Economic Sciences,for his contributions to welfare economics,1998,United Kingdom,1998,1998-12-10,65,FALSE,0,NA
590,Anatole France,male,1844-04-16,France,https://en.wikipedia.org/wiki/Anatole_France,Literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",1921,France,1921,1921-12-10,77,FALSE,0,NA
360,André Frédéric Cournand,male,1895-09-24,France,https://en.wikipedia.org/wiki/André_Frédéric_Cournand,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,1956,USA,1956,1956-12-10,61,FALSE,0,NA
849,Andre Geim,male,1958-10-21,Russia,https://en.wikipedia.org/wiki/Andre_Geim,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,2010,United Kingdom,2010,2010-12-10,52,FALSE,0,NA
618,André Paul Guillaume Gide,male,1869-11-22,France,https://en.wikipedia.org/wiki/André_Gide,Literature,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",1947,France,1947,1947-12-10,78,FALSE,0,NA
381,André Lwoff,male,1902-05-08,France,https://en.wikipedia.org/wiki/André_Michel_Lwoff,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,1965,France,1965,1965-12-10,63,FALSE,0,NA
990,Andrea Ghez,female,1965-06-16,USA,https://en.wikipedia.org/wiki/Andrea_M._Ghez,Physics,for the discovery of a supermassive compact object at the centre of our galaxy,2020,USA,2020,2020-12-10,55,FALSE,0,NA
534,Andrei Dmitrievich Sakharov,male,1921-05-21,Russia,https://en.wikipedia.org/wiki/Andrei_Sakharov,Peace,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",1975,Russia,1975,1975-12-10,54,FALSE,0,NA
377,Andrew Fielding Huxley,male,1917-11-22,United Kingdom,https://en.wikipedia.org/wiki/Andrew_Huxley,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,1963,United Kingdom,1963,1963-12-10,46,FALSE,0,NA
412,Andrew V. Schally,male,1926-11-30,Lithuania,https://en.wikipedia.org/wiki/Andrew_Schally,Physiology or Medicine,for their discoveries concerning the peptide hormone production of the brain,1977,USA,1977,1977-12-10,51,FALSE,0,NA
802,Andrew Z. Fire,male,1959-04-27,USA,https://en.wikipedia.org/wiki/Andrew_Fire,Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,2006,USA,2006,2006-12-10,47,FALSE,0,NA
926,Angus Deaton,male,1945-10-19,Scotland,https://en.wikipedia.org/wiki/Angus_Deaton,Economic Sciences,"for his analysis of consumption, poverty, and welfare",2015,USA,2015,2015-12-10,70,FALSE,0,NA
768,Anthony J. Leggett,male,1938-03-26,United Kingdom,https://en.wikipedia.org/wiki/Anthony_James_Leggett,Physics,for pioneering contributions to the theory of superconductors and superfluids,2003,USA,2003,2003-12-10,65,FALSE,0,NA
101,Antony Hewish,male,1924-05-11,United Kingdom,https://en.wikipedia.org/wiki/Antony_Hewish,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",1974,United Kingdom,1974,1974-12-10,50,FALSE,0,NA
538,Mohamed Anwar al-Sadat,male,1918-12-25,Egypt,https://en.wikipedia.org/wiki/Anwar_Sadat,Peace,for jointly having negotiated peace between Egypt and Israel in 1978,1978,Egypt,1978,1978-12-10,59,FALSE,0,NA
214,Archer John Porter Martin,male,1910-03-01,United Kingdom,https://en.wikipedia.org/wiki/Archer_John_Porter_Martin,Chemistry,for their invention of partition chromatography,1952,United Kingdom,1952,1952-12-10,42,FALSE,0,NA
311,Archibald Vivian Hill,male,1886-09-26,United Kingdom,https://en.wikipedia.org/wiki/Archibald_Hill,Physiology or Medicine,for his discovery relating to the production of heat in the muscle,1922,United Kingdom,1922,1922-12-10,36,FALSE,0,NA
998,Ardem Patapoutian,male,1967-01-01,Lebanon,https://en.wikipedia.org/wiki/Ardem_Patapoutian,Physiology or Medicine,for their discoveries of receptors for temperature and touch,2021,USA,2021,2021-12-10,54,TRUE,0,NA
891,Arieh Warshel,male,1940-11-20,Israel,https://en.wikipedia.org/wiki/Arieh_Warshel,Chemistry,for the development of multiscale models for complex chemical systems,2013,USA,2013,2013-12-10,73,FALSE,0,NA
490,Aristide Briand,male,1862-03-28,France,https://en.wikipedia.org/wiki/Aristide_Briand,Peace,for their crucial role in bringing about the Locarno Treaty,1926,France,1926,1926-12-10,64,FALSE,0,NA
208,Arne Wilhelm Kaurin Tiselius,male,1902-08-10,Sweden,https://en.wikipedia.org/wiki/Arne_Tiselius,Chemistry,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",1948,Sweden,1948,1948-12-10,46,FALSE,0,NA
111,Arno Allan Penzias,male,1933-04-26,Germany,https://en.wikipedia.org/wiki/Arno_Allan_Penzias,Physics,for their discovery of cosmic microwave background radiation,1978,USA,1978,1978-12-10,45,FALSE,0,NA
960,Arthur Ashkin,male,1922-09-02,USA,https://en.wikipedia.org/wiki/Arthur_Ashkin,Physics,for the optical tweezers and their application to biological systems,2018,USA,2018,2018-12-10,96,FALSE,0,NA
920,Arthur B. McDonald,male,1943-08-29,Canada,https://en.wikipedia.org/wiki/Arthur_B._McDonald,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",2015,Canada,2015,2015-12-10,72,FALSE,0,NA
33,Arthur Holly Compton,male,1892-09-10,USA,https://en.wikipedia.org/wiki/Arthur_Compton,Physics,for his discovery of the effect named after him,1927,USA,1927,1927-12-10,35,FALSE,0,NA
186,Arthur Harden,male,1865-10-12,United Kingdom,https://en.wikipedia.org/wiki/Arthur_Harden,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes,1929,United Kingdom,1929,1929-12-10,64,FALSE,0,NA
499,Arthur Henderson,male,1863-09-13,Scotland,https://en.wikipedia.org/wiki/Arthur_Henderson,Peace,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,1934,United Kingdom,1934,1934-12-10,71,FALSE,0,NA
368,Arthur Kornberg,male,1918-03-03,USA,https://en.wikipedia.org/wiki/Arthur_Kornberg,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,1959,USA,1959,1959-12-10,41,FALSE,0,NA
119,Arthur Leonard Schawlow,male,1921-05-05,USA,https://en.wikipedia.org/wiki/Arthur_Leonard_Schawlow,Physics,for their contribution to the development of laser spectroscopy,1981,USA,1981,1981-12-10,60,FALSE,0,NA
203,Artturi Ilmari Virtanen,male,1895-01-15,Finland,https://en.wikipedia.org/wiki/Artturi_Ilmari_Virtanen,Chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",1945,Finland,1945,1945-12-10,50,FALSE,0,NA
722,Arvid Carlsson,male,1923-01-25,Sweden,https://en.wikipedia.org/wiki/Arvid_Carlsson,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system,2000,Sweden,2000,2000-12-10,77,FALSE,0,NA
310,Schack August Steenberg Krogh,male,1874-11-15,Denmark,https://en.wikipedia.org/wiki/August_Krogh,Physiology or Medicine,for his discovery of the capillary motor regulating mechanism,1920,Denmark,1920,1920-12-10,46,FALSE,0,NA
475,Auguste Marie François Beernaert,male,1829-07-26,Belgium,https://en.wikipedia.org/wiki/Auguste_Marie_François_Beernaert,Peace,for their prominent position in the international movement for peace and arbitration,1909,Belgium,1909,1909-12-10,80,FALSE,0,NA
553,Aung San Suu Kyi ,female,1945-06-19,Myanmar,https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi,Peace,for her non-violent struggle for democracy and human rights,1991,Myanmar,1991,1991-12-10,46,FALSE,0,NA
780,Avram Hershko,male,1937-12-31,Hungary,https://en.wikipedia.org/wiki/Avram_Hershko,Chemistry,for the discovery of ubiquitin-mediated protein degradation,2004,Israel,2004,2004-12-10,66,FALSE,0,NA
923,Aziz Sancar,male,1946-09-08,Turkey,https://en.wikipedia.org/wiki/Aziz_Sancar,Chemistry,for mechanistic studies of DNA repair,2015,USA,2015,2015-12-10,69,FALSE,0,NA
845,Barack Hussein Obama,male,1961-08-04,USA,https://en.wikipedia.org/wiki/Barack_Obama,Peace,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,2009,USA,2009,2009-12-10,48,FALSE,0,NA
428,Barbara McClintock,female,1902-06-16,USA,https://en.wikipedia.org/wiki/Barbara_McClintock,Physiology or Medicine,for her discovery of mobile genetic elements,1983,USA,1983,1983-12-10,81,FALSE,0,NA
942,Barry C. Barish,male,1936-01-27,USA,https://en.wikipedia.org/wiki/Barry_Barish,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,2017,USA,2017,2017-12-10,81,FALSE,0,NA
789,Barry J. Marshall,male,1951-09-30,Australia,https://en.wikipedia.org/wiki/Barry_Marshall,Physiology or Medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,2005,Australia,2005,2005-12-10,54,FALSE,0,NA
743,K. Barry Sharpless,male,1941-04-28,USA,https://en.wikipedia.org/wiki/Karl_Barry_Sharpless,Chemistry,for his work on chirally catalysed oxidation reactions,2001,USA,2001,2001-12-10,60,FALSE,0,NA
409,Baruch S. Blumberg,male,1925-07-28,USA,https://en.wikipedia.org/wiki/Baruch_Samuel_Blumberg,Physiology or Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,1976,USA,1976,1976-12-10,51,FALSE,0,NA
419,Baruj Benacerraf,male,1920-10-29,Venezuela,https://en.wikipedia.org/wiki/Baruj_Benacerraf,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1980,USA,1980,1980-12-10,60,FALSE,0,NA
103,Ben Roy Mottelson,male,1926-07-09,USA,https://en.wikipedia.org/wiki/Ben_Roy_Mottelson,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,1975,Denmark,1975,1975-12-10,49,FALSE,0,NA
936,Bengt Holmström,male,1949-04-18,Finland,https://en.wikipedia.org/wiki/Bengt_Holmström,Economic Sciences,for their contributions to contract theory,2016,USA,2016,2016-12-10,67,FALSE,0,NA
426,Bengt I. Samuelsson,male,1934-05-21,Sweden,https://en.wikipedia.org/wiki/Bengt_I._Samuelsson,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,1982,Sweden,1982,1982-12-10,48,FALSE,0,NA
1002,Benjamin List,male,1968-01-11,Germany,https://en.wikipedia.org/wiki/Benjamin_List,Chemistry,for the development of asymmetric organocatalysis,2021,Germany,2021,2021-12-10,53,TRUE,0,NA
933,Bernard L. Feringa,male,1951-05-18,the Netherlands,https://en.wikipedia.org/wiki/Ben_Feringa,Chemistry,for the design and synthesis of molecular machines,2016,the Netherlands,2016,2016-12-10,65,FALSE,0,NA
345,Bernardo Alberto Houssay,male,1887-04-10,Argentina,https://en.wikipedia.org/wiki/Bernardo_Houssay,Physiology or Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,1947,Argentina,1947,1947-12-10,60,FALSE,0,NA
445,Bert Sakmann,male,1942-06-12,Germany,https://en.wikipedia.org/wiki/Bert_Sakmann,Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells,1991,Germany,1991,1991-12-10,49,FALSE,0,NA
468,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",female,1843-06-09,Czech Republic,https://en.wikipedia.org/wiki/Bertha_von_Suttner,Peace,for her audacity to oppose the horrors of war,1905,Austria,1905,1905-12-10,62,FALSE,0,NA
689,Bertil Ohlin,male,1899-04-23,Sweden,https://en.wikipedia.org/wiki/Bertil_Ohlin,Economic Sciences,for their pathbreaking contribution to the theory of international trade and international capital movements,1977,Sweden,1977,1977-12-10,78,FALSE,0,NA
145,Bertram N. Brockhouse,male,1918-07-15,Canada,https://en.wikipedia.org/wiki/Bertram_Brockhouse,Physics,for the development of neutron spectroscopy,1994,Canada,1994,1994-12-10,76,FALSE,0,NA
621,Earl (Bertrand Arthur William) Russell,male,1872-05-18,United Kingdom,https://en.wikipedia.org/wiki/Bertrand_Russell,Literature,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,1950,United Kingdom,1950,1950-12-10,78,FALSE,0,NA
535,Elizabeth Williams,female,1943-05-22,Northern Ireland,https://en.wikipedia.org/wiki/Betty_Williams_(Nobel_laureate),Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,1976,United Kingdom,1976,1976-12-10,33,FALSE,0,NA
572,Bjørnstjerne Martinus Bjørnson,male,1832-12-08,Norway,https://en.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1903,Norway,1903,1903-12-10,71,FALSE,0,NA
937,Bob Dylan,male,1941-05-24,USA,https://en.wikipedia.org/wiki/Bob_Dylan,Literature,for having created new poetic expressions within the great American song tradition,2016,,2016,2016-12-10,75,FALSE,0,NA
629,Boris Leonidovich Pasternak,male,1890-02-10,Russia,https://en.wikipedia.org/wiki/Boris_Pasternak,Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,1958,Russia,1958,1958-12-10,68,FALSE,0,NA
99,Brian David Josephson,male,1940-01-04,United Kingdom,https://en.wikipedia.org/wiki/Brian_David_Josephson,Physics,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",1973,United Kingdom,1973,1973-12-10,33,FALSE,0,NA
879,Brian K. Kobilka,male,1955-05-30,USA,https://en.wikipedia.org/wiki/Brian_Kobilka,Chemistry,for studies of G-protein-coupled receptors,2012,USA,2012,2012-12-10,57,FALSE,0,NA
865,Brian P. Schmidt,male,1967-02-24,USA,https://en.wikipedia.org/wiki/Brian_Schmidt,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,2011,Australia,2011,2011-12-10,44,FALSE,0,NA
861,Bruce A. Beutler,male,1957-12-29,USA,https://en.wikipedia.org/wiki/Bruce_Beutler,Physiology or Medicine,for their discoveries concerning the activation of innate immunity,2011,USA,2011,2011-12-10,53,FALSE,0,NA
261,Robert Bruce Merrifield,male,1921-07-15,USA,https://en.wikipedia.org/wiki/Robert_Bruce_Merrifield,Chemistry,for his development of methodology for chemical synthesis on a solid matrix,1984,USA,1984,1984-12-10,63,FALSE,0,NA
105,Burton Richter,male,1931-03-22,USA,https://en.wikipedia.org/wiki/Burton_Richter,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind,1976,USA,1976,1976-12-10,45,FALSE,0,NA
34,Charles Thomson Rees Wilson,male,1869-02-14,Scotland,https://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour,1927,United Kingdom,1927,1927-12-10,58,FALSE,0,NA
298,Camillo Golgi,male,1843-07-07,Italy,https://en.wikipedia.org/wiki/Camillo_Golgi,Physiology or Medicine,in recognition of their work on the structure of the nervous system,1906,Italy,1906,1906-12-10,63,FALSE,0,NA
666,Camilo José Cela,male,1916-05-11,Spain,https://en.wikipedia.org/wiki/Camilo_José_Cela,Literature,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",1989,Spain,1989,1989-12-10,73,FALSE,0,NA
189,Carl Bosch,male,1874-08-27,Germany,https://en.wikipedia.org/wiki/Carl_Bosch,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods,1931,Germany,1931,1931-12-10,57,FALSE,0,NA
343,Carl Ferdinand Cori,male,1896-12-05,Czech Republic,https://en.wikipedia.org/wiki/Carl_Ferdinand_Cori,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen,1947,USA,1947,1947-12-10,51,FALSE,0,NA
43,Carl David Anderson,male,1905-09-03,USA,https://en.wikipedia.org/wiki/Carl_David_Anderson,Physics,for his discovery of the positron,1936,USA,1936,1936-12-10,31,FALSE,0,NA
